parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
r1_pop,0.0954339229992534,,0.0190515028872001,19.9630302186667,0.064578,0.138845
beta_r1_dose1Type_Pfizer,-1.01768671529332,,0.272283325396773,26.7551223087643,-1.55135,-0.484021
beta_r1_isConvalesced_Yes,-4.44984041623682,,1.51714790542035,34.0944340359825,-7.4234,-1.47629
r2_pop,0.0137695128891661,,0.226730952218775,1646.61563588911,2.73511e-05,0.87695
beta_r2_dose1Type_Pfizer,2.53448063446171,,3.1673193811113,124.969168753739,-3.67335,8.74231
beta_r2_isConvalesced_Yes,-4.48357512018216,,1.59046132034148,35.4730606203574,-7.60082,-1.36633
r3_pop,0.00161040506078175,,0.0017250470964973,107.118832305451,0.000389026,0.00664094
beta_r3_dose1Type_Pfizer,-1.33549923627503,,1.8710474592625,140.100975608285,-5.00268,2.33169
beta_r3_isConvalesced_Yes,-1.90499382808284,,1.33965697448934,70.3234285980631,-4.53067,0.720686
r4_pop,0.0100758294493829,,0.00232881865521477,23.1129225332153,0.00651218,0.0155591
beta_r4_isConvalesced_Yes,-2.14543921621094,,0.371945351483602,17.3365597437197,-2.87444,-1.41644
A0_pop,0.000119062160802826,,0.491492475697148,412803.255360945,2.22045e-16,1
beta_A0_isConvalesced_Yes,16.2028299714817,,68.9398577038726,425.480350193222,-118.917,151.322
omega_r1,0.437601445822672,39.7142967264901,0.0926461252172525,21.171348061495,0.292734,0.654161
omega_r2,0.471983654512899,48.8651065707283,0.204768596909754,43.3846797345304,0.22086,1.00864
omega_r3,0.227740113075905,23.0337016413859,6.33230585742461,2780.49649308555,0.00632511,8.19995
omega_r4,0.697229725663154,76.6813880668663,0.167490969199408,24.0223506018914,0.443524,1.09606
omega_A0,3.6655975230949,519.094225912396,1.83989794179761,50.1936704781534,1.56221,8.60104
corr_r2_r1,-0.472305173743627,,0.323316674105074,68.4550354471819,-0.868923,0.293691
corr_r3_r1,-0.108917591149881,,5.01911484288316,4608.17650289051,-1,1
corr_r4_r1,0.0674728889502503,,0.459225059200376,680.606783472657,-0.684007,0.749475
corr_r3_r2,-0.336839441594756,,17.6403909631831,5237.03248042012,-1,1
corr_r4_r2,0.679028884703253,,0.34335249269291,50.5652263736853,-0.398116,0.969023
corr_r4_r3,-0.336441982570246,,14.8785438156079,4422.32081202929,-1,1
a,0.379750100296098,,0.0272846827640283,7.18490468936123,0.330046,0.43694
b,0.173608157066708,,0.0249550958178578,14.3743797754094,0.131535,0.229138
