parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
r1_dose1Type_Moderna_isConvalesced_No,0.0954339229992534,,0.0190515028872001,19.9630302186667,0.0645780280046252,0.138844677958563
r1_dose1Type_Moderna_isConvalesced_Yes,0.00123079715626963,,0.0106337520853237,863.972753849466,5.9356433583588e-05,0.0249447038148187
r1_dose1Type_Pfizer_isConvalesced_No,0.0367311292925101,,0.00656942051337803,17.8851580115115,0.0260064778175385,0.0516439509380314
r1_dose1Type_Pfizer_isConvalesced_Yes,0.00044519699818622,,0.00392532224493792,881.70456245889,2.16421085422844e-05,0.00908279750447609
r2_dose1Type_Moderna_isConvalesced_No,0.0137695128891661,,0.226730952218775,1646.61563588911,2.73511054703002e-05,0.876950081823433
r2_dose1Type_Moderna_isConvalesced_Yes,0.00015764483623073,,0.0725561424097844,46025.0675788649,1.46372391958727e-07,0.145181453891278
r2_dose1Type_Pfizer_isConvalesced_No,0.149700435551224,,0.0266075153597641,17.7738396430114,0.104924787671355,0.209119492995298
r2_dose1Type_Pfizer_isConvalesced_Yes,0.00198425081853278,,0.0170869978663602,861.130947094424,8.36705373294001e-05,0.0451090049741791
r3_dose1Type_Moderna_isConvalesced_No,0.00161040506078175,,0.0017250470964973,107.118832305451,0.000389025510440034,0.00664093689948353
r3_dose1Type_Moderna_isConvalesced_Yes,0.000239995186758118,,0.000732502442621022,305.21547224165,2.56369643738476e-05,0.00224264611974307
r3_dose1Type_Pfizer_isConvalesced_No,0.000424083050878678,,0.0202735172115965,4780.5535188428,5.32545151229323e-06,0.032694534412467
r3_dose1Type_Pfizer_isConvalesced_Yes,6.31363401466232e-05,,0.00567559132292247,8989.42084660259,5.70792299525991e-07,0.00693605469279138
r4_isConvalesced_No,0.0100758294493829,,0.00232881865521477,23.1129225332153,0.00651218203147132,0.0155590629673666
r4_isConvalesced_Yes,0.00118962343789711,,0.000398317183027531,33.4826273876743,0.000645464453161111,0.00219152978330492
A0_isConvalesced_No,0.000119062160802826,,0.491492475697148,412803.255360945,2.22044604925031e-16,1
A0_isConvalesced_Yes,0.999229025663443,,0.0474323187760178,4.7468916092109,0.899104949335737,0.999994694968297
omega_r1,0.437601445822672,39.7142967264901,0.0926461252172525,21.171348061495,0.292734,0.654161
omega_r2,0.471983654512899,48.8651065707283,0.204768596909754,43.3846797345304,0.22086,1.00864
omega_r3,0.227740113075905,23.0337016413859,6.33230585742461,2780.49649308555,0.00632511,8.19995
omega_r4,0.697229725663154,76.6813880668663,0.167490969199408,24.0223506018914,0.443524,1.09606
omega_A0,3.6655975230949,519.094225912396,1.83989794179761,50.1936704781534,1.56221,8.60104
corr_r2_r1,-0.472305173743627,,0.323316674105074,68.4550354471819,-0.868923,0.293691
corr_r3_r1,-0.108917591149881,,5.01911484288316,4608.17650289051,-1,1
corr_r4_r1,0.0674728889502503,,0.459225059200376,680.606783472657,-0.684007,0.749475
corr_r3_r2,-0.336839441594756,,17.6403909631831,5237.03248042012,-1,1
corr_r4_r2,0.679028884703253,,0.34335249269291,50.5652263736853,-0.398116,0.969023
corr_r4_r3,-0.336441982570246,,14.8785438156079,4422.32081202929,-1,1
a,0.379750100296098,,0.0272846827640283,7.18490468936123,0.330046,0.43694
b,0.173608157066708,,0.0249550958178578,14.3743797754094,0.131535,0.229138
